OTU ID		DF_5_6	HN_4_5	DF_2_5	HN_4_4	DF_4_2	HN_2_3	DF_1_1	LN_7_3	LN_2_2	DF_5_1	HN_3_5	HN_4_6	HN_1_3	HN_3_4	DF_7_5	LN_6_3	HN_1_2	LN_3_4	DF_1_5	LN_6_2	LN_3_1	HN_3_3	HN_6_8	DF_2_1	DF_4_8	HN_6_4	HN_5_3	HN_1_4	LN_1_2	DF_7_1	LN_3_6	LN_5_3	HN_1_7	HN_3_7	DF_4_4	HN_5_5	LN_2_1	LN_5_6	HN_5_2	DF_5_2	DF_6_6	LN_7_2	HN_2_2	DF_7_4	DF_3_6	HN_1_5	LN_5_5	DF_7_8	DF_6_7	LN_2_4	DF_2_7	HN_3_2	HN_4_7	DF_4_5	DF_1_4	DF_5_5	LN_5_7	DF_3_2	DF_5_8	DF_3_1	HN_2_4	DF_2_8	DF_4_3	DF_3_4	DF_6_3	DF_7_6	DF_4_6	DF_6_2	HN_3_6	HN_1_8	DF_2_4	HN_6_3	DF_6_5	LN_5_1	HN_4_1	DF_6_1	LN_1_3	LN_5_4	DF_7_7	DF_5_4	DF_3_8	DF_1_7	HN_1_1	LN_6_4	DF_5_7	DF_7_2	LN_2_3	DF_6_4	DF_1_3	HN_5_6	DF_4_1	HN_4_8	DF_2_3	DF_3_7	DF_6_8	DF_4_7	LN_5_8	HN_5_8	HN_5_4	DF_1_8	LN_1_1	HN_5_7	DF_1_2	LN_3_3	HN_3_8	DF_5_3	HN_6_2	DF_2_6	DF_3_5	HN_6_6	HN_6_5	DF_1_6	HN_6_1	HN_5_1	LN_3_5	DF_2_2	DF_3_3	HN_1_6	HN_4_3	HN_6_7	LN_6_1	LN_4_1	HN_4_2	HN_2_1	LN_3_2	LN_5_2
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rs-E47 termite group;uncultured bacterium;Other	OTU_307	10	19	35	33	0	0	37	0	0	7	30	41	10	25	19	0	0	0	8	3	1	39	0	24	335	0	0	11	0	3	0	0	1	40	27	0	0	0	0	16	4	0	20	13	0	0	0	29	4	3	0	26	9	47	27	56	0	0	0	32	0	0	0	0	16	5	44	41	18	16	39	0	4	27	8	37	0	0	10	10	0	269	17	0	85	13	1	69	30	0	0	34	50	0	10	68	0	0	0	17	0	0	48	0	0	23	3	0	0	0	0	83	18	0	0	27	6	0	40	0	0	0	18	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rs-E47 termite group;uncultured Bacteroidetes bacterium;Other	OTU_516	6	0	3	0	2	0	6	0	8	0	0	13	0	1	64	0	0	0	0	0	1	4	0	3	3	3	0	0	0	8	0	2	0	4	0	0	0	3	0	0	3	0	0	21	0	0	1	87	2	0	2	9	2	12	12	42	0	9	0	41	0	0	8	0	7	57	4	26	1	6	6	5	2	4	98	14	0	0	64	2	0	11	12	0	13	37	0	18	11	0	0	6	7	0	5	10	0	0	0	1	0	0	19	0	0	7	4	22	3	0	0	0	6	5	0	18	10	0	0	0	0	0	4	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;uncultured bacterium;Other	OTU_114519	3	0	0	0	0	0	12	0	0	3	0	2	0	0	0	0	0	0	0	0	5	0	166	38	0	3	1	0	0	2	0	1	1	0	0	0	0	0	0	1	2	0	37	2	0	0	0	0	3	8	0	0	0	0	2	6	2	1	0	0	0	3	2	0	27	2	0	9	0	0	0	63	0	6	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	99	0	0	31	4	1	0	0	10	1	1	0	0	100	5	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Macellibacteroides;bacterium enrichment culture clone M224	OTU_2083	4	0	0	2	0	15	1	3	2	15	0	0	1	0	0	3	0	0	2	0	3	0	3	1	35	1	1	1	1	0	0	0	0	0	13	0	4	1	0	8	5	1	9	0	2	0	0	0	9	0	1	0	0	18	0	3	5	3	1	24	7	7	0	1	21	0	30	9	0	0	15	0	1	8	0	1	0	0	2	0	3	14	0	0	5	0	0	1	4	1	3	0	4	1	3	10	5	2	0	3	0	0	24	0	0	2	0	3	4	0	3	3	0	1	0	1	1	0	3	0	1	1	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Macellibacteroides;uncultured bacterium	OTU_138886	6	10	0	11	13	1	152	1	7	41	12	15	3	7	17	9	0	1	4	4	40	7	77	21	10	23	4	10	0	18	0	7	19	9	12	9	3	32	5	20	6	10	21	29	35	35	6	23	10	35	3	0	12	17	5	14	32	8	2	12	5	13	11	5	25	6	11	29	4	6	9	10	11	23	10	19	10	2	62	2	6	21	18	0	19	2	10	5	28	9	18	8	21	1	3	9	80	21	5	18	1	10	21	1	18	2	26	8	1	76	41	3	7	17	0	9	12	18	3	27	61	7	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Macellibacteroides;uncultured Bacteroidetes bacterium	OTU_136484	7	0	0	0	7	2	9	0	4	25	1	1	0	0	0	0	1	0	1	0	1	0	1	2	5	0	0	0	0	5	0	0	1	2	11	0	0	0	0	10	13	0	6	2	13	0	0	2	14	1	1	4	1	5	3	6	0	6	1	10	1	8	2	7	17	4	12	28	0	6	11	0	10	17	1	13	0	0	2	0	11	18	0	0	8	3	0	2	6	2	1	0	3	1	8	3	0	0	0	9	0	0	10	0	1	2	0	1	18	7	4	9	1	2	5	4	4	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Blattella germanica (German cockroach)	OTU_51161	37	1	138	15	357	49	41	15	90	342	12	8	9	1	55	0	4	2	25	1	74	39	63	10	33	25	10	1	0	42	0	2	0	51	100	4	97	10	41	330	45	21	41	101	140	2	0	16	43	31	50	189	2	65	43	63	11	63	39	155	301	26	34	78	36	73	42	44	26	13	71	7	31	35	83	43	3	0	19	2	110	29	42	0	29	22	48	48	79	5	83	0	42	36	51	34	0	3	3	9	6	10	52	0	0	8	91	58	17	62	31	8	131	78	1	75	66	0	26	21	7	62	26	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Gryllus firmus	OTU_136012	8	1	1	3	28	12	4	10	0	18	4	20	4	4	0	0	3	3	7	0	4	13	382	36	3	6	0	6	0	6	0	2	2	2	5	0	0	62	0	1	10	2	75	0	2	0	0	0	1	46	1	17	2	0	6	4	9	3	3	0	9	0	2	1	88	0	2	26	4	4	2	216	2	16	0	9	3	0	1	1	1	5	0	0	3	3	2	6	1	0	16	3	3	0	0	0	0	0	0	10	0	0	7	0	3	5	325	0	0	180	32	1	1	1	7	5	0	1	3	484	8	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;gut metagenome	OTU_70219	12	0	1	0	0	7	2	9	9	2	9	5	5	2	24	0	2	0	3	0	5	12	1	3	20	0	0	2	0	6	0	0	2	4	3	0	3	11	1	4	4	19	2	4	6	0	0	1	5	14	0	28	0	13	0	11	4	1	6	14	9	5	5	5	3	13	11	6	5	2	13	1	2	4	5	4	1	0	1	0	2	4	10	0	6	1	21	8	7	0	1	1	1	0	2	17	0	0	0	3	0	2	9	0	4	4	6	0	1	0	1	0	22	13	8	2	0	0	1	0	0	0	2	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides chinchillae	OTU_82914	10	1	1	8	20	27	14	12	16	6	14	14	6	7	51	0	1	1	13	0	43	27	31	12	12	3	3	4	0	28	0	1	1	15	16	0	11	14	24	28	8	15	30	50	15	9	2	15	24	12	7	31	2	22	5	18	12	25	11	27	65	11	13	12	18	37	22	22	4	3	11	0	11	14	57	12	1	0	25	4	10	40	15	0	20	15	13	25	30	5	5	0	5	1	19	19	0	3	0	12	7	4	18	0	6	7	9	9	4	7	11	11	19	11	3	11	18	6	8	4	7	9	5	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii CL02T12C30	OTU_117458	43	2	3	4	21	69	16	69	79	34	9	26	5	4	54	1	4	1	33	0	38	23	317	38	26	24	12	3	0	19	0	1	0	59	9	7	19	4	14	34	17	58	44	105	11	8	2	15	9	14	3	48	8	24	21	53	0	57	23	89	111	11	17	7	33	76	49	19	25	42	31	140	10	30	103	16	5	0	23	8	0	52	52	1	23	20	42	12	17	8	5	5	5	2	1	46	0	4	3	38	4	1	67	1	1	30	265	17	27	120	46	4	103	81	2	21	54	0	23	199	31	9	11	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii CL02T12C29	OTU_65062	4	0	0	0	4	14	38	72	2	3	551	7	5	134	1	0	7	0	102	0	52	138	2	77	0	1	0	6	0	0	0	2	1	661	1	0	10	0	0	4	167	7	2	0	0	13	0	0	281	18	1	176	0	4	54	10	2	2	16	0	60	1	3	1	142	1	0	188	550	223	3	0	140	155	25	205	3	0	0	14	1	907	13	0	16	0	9	65	195	1	0	1	4	0	98	10	0	0	0	116	2	0	116	0	2	57	12	1	1	6	0	125	13	2	1	23	1	0	0	17	0	11	1	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. 426-9	OTU_49494	2	0	5	0	19	9	7	5	24	14	1	2	0	0	27	0	1	0	11	0	25	1	0	6	6	0	2	0	0	5	0	0	0	0	8	0	4	5	0	16	15	3	1	7	11	0	0	6	5	4	1	12	0	9	3	14	0	13	3	7	17	10	5	6	13	17	18	24	0	0	10	0	18	14	6	2	6	0	8	0	2	67	24	0	10	2	8	8	12	0	3	0	3	0	6	26	0	0	0	15	0	0	4	0	0	0	12	1	2	2	3	6	11	12	0	13	2	0	2	0	6	5	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. HGS0025	OTU_66105	3	1	0	1	1	2	1	5	4	3	0	3	0	1	18	0	0	0	4	0	3	1	21	2	1	0	0	0	0	6	0	0	2	4	0	0	1	0	1	0	1	2	2	14	12	0	0	0	2	1	4	9	1	3	3	3	0	1	0	1	19	1	0	4	2	9	1	5	2	1	3	16	5	1	6	7	0	0	6	0	0	11	0	0	2	4	4	2	5	0	5	0	4	0	2	6	0	0	0	0	1	0	4	0	0	0	34	2	0	2	2	0	16	6	3	10	4	0	1	29	2	2	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. Marseille-P3668	OTU_141904	5	0	2	1	0	11	2	22	5	12	9	1	3	10	5	0	1	0	10	0	17	9	1	5	4	0	2	1	0	0	0	0	0	8	4	0	3	5	0	12	13	3	1	2	0	1	0	3	19	2	0	44	0	8	6	6	0	1	5	7	3	7	4	2	10	6	14	8	6	2	6	0	13	5	15	4	4	1	8	0	1	37	1	0	7	0	16	8	9	0	0	0	3	0	4	10	0	1	0	12	0	0	19	2	0	6	1	0	8	3	2	1	3	5	0	4	2	0	1	3	0	3	1	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. PF5-2	OTU_81178	1155	56	2136	247	1052	4717	586	1425	1054	859	159	302	1029	161	733	30	187	307	2196	27	1624	617	343	479	1715	56	656	575	141	451	7	108	417	262	1346	84	843	1724	222	1185	547	2630	1225	981	1202	290	176	338	650	1684	446	1645	71	2450	1168	1300	662	482	1891	615	2932	608	367	479	684	581	1269	828	209	134	1194	524	569	1451	470	430	496	53	238	202	211	2665	509	20	1140	190	1115	1290	761	189	376	206	732	158	173	1878	108	146	54	1455	77	64	1352	120	210	883	703	378	598	327	123	267	651	667	478	1370	217	284	177	596	225	1114	67	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. PF5-6	OTU_11462	364	35	171	123	183	938	115	2090	349	1166	259	136	634	132	395	7	321	19	359	1	840	172	58	306	1170	65	47	216	75	182	1	49	200	119	757	19	381	182	44	945	559	547	874	428	146	112	23	114	556	281	211	726	38	1146	202	350	47	419	115	959	1190	399	129	91	283	387	796	439	148	116	1008	18	406	163	550	358	218	23	161	57	37	702	428	0	313	101	286	324	593	36	46	64	155	14	276	848	8	35	10	230	14	42	217	38	164	128	230	128	171	46	30	109	361	170	58	168	328	97	169	18	28	412	111	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. PF5-9	OTU_62778	110	97	64	222	177	498	286	358	118	546	51	1488	221	66	145	68	62	23	398	20	341	183	293	273	119	14	40	889	16	128	0	43	241	372	342	121	107	432	83	410	408	256	57	146	344	1425	53	33	474	136	117	374	523	75	165	177	145	33	78	58	4062	438	78	237	506	114	137	423	97	154	113	12	330	740	130	399	45	29	95	113	67	719	94	5	125	39	112	188	423	354	77	697	122	35	273	174	42	71	18	270	30	196	1022	26	78	142	70	19	113	119	59	184	81	56	34	183	36	795	51	174	58	83	15	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. PFB2-10	OTU_15	721	25	1877	38	706	63	250	296	882	1241	51	124	123	245	821	10	36	48	463	5	851	359	74	462	517	45	41	41	70	341	3	36	23	227	651	6	634	173	59	1364	381	1435	304	1155	702	10	21	251	704	103	219	503	19	365	469	1158	44	217	903	555	89	244	154	454	333	808	312	421	46	199	259	53	354	415	477	470	126	10	361	86	421	572	281	0	839	251	471	788	633	20	249	16	309	170	724	346	2	7	3	144	60	9	315	45	3	191	450	410	338	60	26	84	390	214	71	596	164	5	75	60	115	389	49	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. PFB2-3	OTU_125907	58	0	23	2	14	42	13	57	62	89	8	1	9	10	68	4	9	0	34	0	66	43	6	58	69	4	2	5	2	39	0	7	3	7	64	0	38	41	1	101	67	71	48	71	24	3	3	31	112	9	38	90	1	39	29	59	18	22	22	60	74	39	7	14	29	76	48	48	6	1	39	0	47	29	84	27	14	0	39	7	11	39	20	0	45	13	43	62	74	5	4	1	17	0	67	28	1	1	0	25	2	0	21	3	6	11	47	26	21	13	5	7	42	12	5	20	25	2	2	8	9	49	7	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. PH5-33	OTU_140613	129	266	46	306	65	109	118	123	109	167	442	1433	331	2393	55	1	128	18	101	4	191	3071	385	165	110	2	6	366	14	33	0	25	24	1977	247	26	48	272	8	180	66	143	20	120	12	112	28	27	86	128	79	728	322	56	79	135	135	25	53	46	220	109	52	16	67	45	105	180	279	1350	36	7	81	158	257	113	26	43	32	19	4	83	125	1	83	24	160	121	85	165	7	222	90	1	54	75	28	74	0	175	22	153	189	19	8	28	110	82	5	113	52	23	107	18	135	42	25	30	251	116	24	99	59	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. PM6-13	OTU_138360	941	10	740	36	369	310	417	701	2985	587	61	94	237	69	2663	16	74	11	559	0	883	273	434	529	729	63	72	52	80	815	2	66	57	182	510	15	747	67	253	515	862	1437	430	3218	1014	35	12	546	1421	493	354	1134	15	601	827	1285	35	311	741	690	516	514	488	861	867	2520	794	1038	88	73	523	79	713	1290	1611	735	174	9	837	208	372	846	629	2	1369	634	1473	1330	1115	35	81	9	599	166	1215	1189	13	16	44	200	91	19	1049	44	6	353	620	356	1160	205	82	236	1179	891	25	1207	383	27	149	153	197	555	184	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured bacterium	OTU_118524	1286	255	172	489	945	7781	946	931	990	646	502	794	861	941	990	63	994	170	859	19	1108	1654	1788	647	630	345	281	798	88	598	4	110	353	980	523	44	428	3289	436	500	535	821	773	1267	394	868	199	204	877	1158	238	3100	116	587	890	938	686	427	824	866	2482	304	488	379	1322	1143	464	1103	479	571	509	1216	436	1124	1275	802	794	42	391	103	82	1510	824	14	913	256	830	826	851	156	627	201	903	57	444	542	120	104	57	1012	175	115	1121	143	287	334	2206	179	393	844	469	207	1234	1102	679	1139	404	425	535	1506	255	571	407	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured Bacteroidales bacterium	OTU_381	5	12	0	13	0	11	0	2	14	0	44	75	3	191	8	0	2	0	7	0	7	220	13	3	1	0	1	14	0	1	0	0	3	161	0	1	4	11	0	3	3	6	1	11	0	0	3	0	4	5	5	44	7	5	6	5	8	3	21	0	32	6	3	0	2	3	5	1	20	143	1	0	2	4	3	1	2	7	2	0	3	17	2	0	6	0	5	2	1	3	0	2	3	1	3	0	5	1	0	2	1	2	1	0	0	2	2	2	3	0	1	0	1	4	5	3	0	0	10	0	2	2	1	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured Bacteroidetes bacterium	OTU_84842	10	3	6	11	22	18	16	46	113	38	7	37	20	37	119	1	5	26	26	0	89	34	52	16	64	3	12	9	11	26	1	15	14	16	24	2	15	136	28	6	22	82	52	102	7	6	15	42	17	20	3	59	13	25	14	68	54	3	15	21	60	8	46	11	8	118	11	19	11	17	19	5	22	33	62	22	13	3	25	2	6	75	92	0	27	8	41	8	32	15	2	8	5	2	23	47	15	16	3	27	19	17	30	31	4	20	51	0	13	15	9	12	60	62	42	23	20	4	33	15	46	43	10	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured organism	OTU_116542	86	7	18	28	69	73	76	116	200	154	97	68	72	49	203	3	31	8	77	0	122	99	139	85	163	35	22	35	7	67	0	12	18	133	59	14	66	15	24	53	111	122	68	180	53	16	6	36	124	534	31	183	7	189	67	126	4	82	55	183	254	56	57	43	121	186	159	139	67	49	130	16	94	117	212	94	57	2	27	25	14	237	101	0	111	30	124	109	131	15	26	8	49	11	72	149	1	23	15	90	10	21	133	11	31	34	146	18	84	56	29	56	106	107	29	61	87	22	47	64	35	45	59	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured Porphyromonadaceae bacterium	OTU_92148	1330	423	768	660	1237	4721	1191	1104	2497	889	640	1307	507	652	2156	107	426	410	1663	59	1387	3032	429	783	1265	154	304	966	108	933	9	263	150	561	739	68	973	6928	372	819	1342	1725	1876	2450	1849	345	321	506	1917	1009	494	4803	325	1184	1232	1742	1930	719	1630	1682	6358	752	751	1462	1472	1881	1173	1265	454	391	1177	130	991	2689	2202	831	379	229	930	408	654	2789	601	10	1799	446	1278	1515	1711	196	738	1006	1157	332	1504	1343	304	75	71	1076	157	111	2408	366	400	826	739	586	1474	430	278	480	1197	925	1330	1980	598	123	595	233	431	748	296	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;Tannerella sp. oral taxon BU063 isolate Cell 6/7/9	OTU_187	1	31	0	24	16	0	0	3	7	21	0	8	6	2	83	0	0	0	7	0	121	0	12	6	0	4	26	0	3	32	0	0	2	1	27	0	17	0	30	18	4	0	33	62	19	0	0	16	12	3	0	3	15	0	0	15	0	0	4	0	0	0	62	18	0	47	0	1	0	0	0	3	68	0	24	14	3	0	30	0	5	75	125	0	1	14	0	1	63	15	1	9	7	5	4	0	0	3	0	6	2	21	15	0	0	28	27	0	29	31	6	0	89	142	0	0	0	0	16	10	4	3	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;uncultured bacterium	OTU_84850	35	9	100	22	73	40	43	42	42	100	38	25	24	14	40	3	14	7	84	0	40	10	45	92	24	0	8	20	2	17	0	2	22	29	95	0	41	12	14	76	52	34	41	26	43	10	3	14	46	69	3	28	3	41	22	41	10	9	32	47	67	16	72	37	113	30	42	91	36	16	46	27	49	50	42	65	11	0	12	9	18	164	45	1	40	6	30	67	97	6	18	11	14	4	25	50	1	3	3	78	2	1	102	8	10	47	26	11	34	9	9	7	47	33	10	31	12	7	28	29	20	20	4	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;uncultured Bacteroidetes bacterium	OTU_86198	4	4	4	12	15	0	8	0	15	3	1	6	3	0	17	0	1	2	5	0	9	10	12	12	0	0	2	6	0	4	0	0	4	2	24	0	5	5	5	14	36	2	2	22	12	1	0	7	15	2	6	2	4	5	7	10	16	0	1	4	2	0	25	14	0	5	4	6	0	0	1	0	22	8	4	5	0	0	4	0	1	64	18	0	8	0	1	8	15	3	3	0	1	0	9	4	4	2	0	11	0	0	10	7	1	12	2	7	10	2	6	1	7	15	0	13	5	3	13	5	3	4	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;uncultured Porphyromonadaceae bacterium	OTU_49903	6	16	65	50	59	4	35	8	41	98	4	51	52	1	33	1	71	0	29	0	50	1	15	14	90	0	29	119	12	8	0	2	52	0	146	2	57	5	9	54	64	14	6	56	92	83	0	28	58	8	28	2	7	129	7	16	0	16	5	34	29	51	59	43	133	21	114	79	2	1	114	4	75	14	29	34	30	0	6	8	30	52	53	0	18	3	28	17	48	2	29	8	17	6	30	175	0	12	5	21	0	1	45	5	21	15	24	33	33	19	8	5	11	12	1	27	13	53	12	19	9	40	3	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;uncultured;Porphyromonadaceae bacterium MV12	OTU_137482	8	0	3	1	1	1	1	18	3	13	2	4	1	1	12	0	0	0	5	0	4	2	15	14	4	2	2	0	0	5	0	0	0	4	15	0	2	0	0	9	1	5	11	12	5	0	4	0	11	4	5	7	1	3	5	13	1	3	0	1	3	3	3	9	16	3	13	10	3	0	8	13	5	2	4	6	0	0	2	0	0	11	1	0	7	2	1	6	8	1	1	1	3	0	4	13	0	0	0	5	0	0	4	0	0	3	17	2	7	3	3	7	1	2	1	4	1	0	0	10	2	1	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;uncultured;uncultured bacterium	OTU_390	36	25	75	27	27	77	69	283	33	95	287	38	18	124	11	0	51	21	65	0	123	10	4	32	157	0	6	27	10	9	0	0	3	195	138	4	152	1	20	44	34	240	52	33	55	31	0	7	15	37	16	2	13	131	53	55	1	18	17	28	258	38	23	19	67	11	193	32	181	56	151	8	35	83	21	21	8	0	7	6	6	96	13	0	22	8	34	48	29	6	9	18	31	6	8	332	1	4	8	50	6	10	272	30	4	13	26	15	24	10	4	2	33	17	2	30	40	12	10	9	27	96	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;uncultured;uncultured Porphyromonadaceae bacterium	OTU_131381	5	8	1	9	1	2	6	3	1	9	52	3	0	12	0	0	1	5	0	0	8	2	0	2	8	0	0	3	0	2	0	0	1	23	13	0	10	0	0	6	7	1	0	3	1	0	4	2	2	0	1	0	2	6	9	4	2	2	2	2	27	7	3	1	10	0	13	4	31	3	11	0	0	1	0	1	0	0	0	3	0	13	0	0	4	2	0	6	2	2	2	0	0	0	0	27	0	0	0	4	0	1	4	1	4	6	1	2	3	1	2	0	3	3	2	5	0	0	0	0	1	1	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;vadinHA21;uncultured bacterium;Other	OTU_53953	373	16	558	38	137	138	386	615	3549	448	32	51	139	69	213	3	232	567	1269	14	1658	101	289	133	352	91	1199	70	109	219	78	31	40	26	680	101	740	102	267	308	342	5410	372	112	106	50	51	134	484	359	106	338	31	415	303	701	92	59	514	132	207	209	1204	73	152	883	302	165	21	10	280	94	282	1166	395	81	162	35	157	140	61	997	769	1	352	40	607	501	334	100	32	21	139	12	311	349	48	94	18	252	118	51	1177	196	18	497	235	73	142	146	103	256	417	738	5576	335	95	93	118	173	200	155	44	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;BCf9-17 termite group;uncultured Bacteroidales bacterium	OTU_394	0	0	0	0	2	0	5	0	0	5	1	0	4	0	7	0	0	0	2	0	7	0	0	17	14	3	0	0	1	4	0	0	1	0	6	0	0	0	0	11	0	0	0	28	7	0	0	38	1	0	3	0	0	2	6	28	0	7	0	0	0	11	0	7	6	1	1	17	0	0	85	0	5	3	0	10	0	0	12	0	0	14	20	0	32	2	0	10	17	0	1	0	5	3	1	5	1	0	0	4	0	0	1	0	0	0	1	0	5	0	0	0	6	4	0	2	3	0	0	0	4	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Rs-D38 termite group;uncultured bacterium	OTU_397	4	3	35	11	57	12	9	67	75	113	1	20	86	0	4	18	27	0	26	12	115	0	6	18	130	4	8	47	12	7	0	0	34	1	67	5	13	0	2	81	21	37	51	21	19	35	0	55	6	270	40	3	37	69	5	5	0	28	0	46	41	34	41	3	12	2	247	14	0	0	70	0	10	48	25	6	23	0	30	10	3	23	33	0	5	11	147	5	6	17	6	36	5	0	9	453	0	8	8	18	1	1	58	8	6	7	16	45	5	51	9	7	21	37	1	0	36	16	3	24	25	15	1	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Rs-D38 termite group;uncultured Bacteroidaceae bacterium	OTU_134871	3	0	37	8	46	3	3	2	1	69	0	0	13	0	0	0	15	0	25	2	2	0	10	15	8	0	13	26	5	2	0	0	10	0	89	0	8	0	3	25	35	0	7	0	3	1	0	0	5	38	78	0	0	46	1	7	0	0	0	4	10	129	9	3	6	0	18	20	0	0	34	0	25	6	0	1	9	0	0	2	0	27	10	0	0	0	83	2	6	1	2	0	4	0	9	16	0	0	2	11	0	0	18	0	0	2	2	31	0	9	7	4	3	13	0	3	0	1	0	2	5	8	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Rs-D38 termite group;uncultured Bacteroidales bacterium	OTU_98	17	0	647	54	296	59	48	20	25	731	0	2	136	2	3	0	267	2	359	0	7	3	116	74	82	0	148	205	53	22	0	0	57	3	967	21	116	0	23	285	195	32	83	13	48	12	5	8	138	443	813	2	0	495	7	36	0	21	1	39	88	1214	167	17	87	3	247	202	0	0	187	5	139	61	17	63	196	1	4	27	6	143	113	0	8	0	1027	21	52	44	58	0	22	10	50	154	0	30	23	107	2	13	106	0	16	64	19	386	16	105	101	109	13	131	0	10	8	65	1	40	62	166	2	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;uncultured;uncultured Rikenellaceae bacterium	OTU_124	8	12	535	19	67	92	118	140	5	343	20	12	462	6	29	0	222	20	187	0	52	8	87	73	125	10	140	158	22	42	0	0	112	71	356	12	41	87	103	152	84	255	224	46	35	144	0	22	178	64	41	8	19	200	41	24	58	47	3	56	145	163	123	36	70	25	215	59	25	26	195	1	145	154	46	60	57	0	12	66	0	1210	225	0	19	8	36	29	75	40	25	3	72	1	60	246	1	17	4	124	7	11	282	5	24	127	23	37	44	19	8	50	166	182	82	35	47	260	0	34	32	18	0	0	0	0
