OTU ID		DF_5_6	HN_4_5	DF_2_5	HN_4_4	DF_4_2	HN_2_3	DF_1_1	LN_7_3	LN_2_2	DF_5_1	HN_3_5	HN_4_6	HN_1_3	HN_3_4	DF_7_5	LN_6_3	HN_1_2	LN_3_4	DF_1_5	LN_6_2	LN_3_1	HN_3_3	HN_6_8	DF_2_1	DF_4_8	HN_6_4	HN_5_3	HN_1_4	LN_1_2	DF_7_1	LN_3_6	LN_5_3	HN_1_7	HN_3_7	DF_4_4	HN_5_5	LN_2_1	LN_5_6	HN_5_2	DF_5_2	DF_6_6	LN_7_2	HN_2_2	DF_7_4	DF_3_6	HN_1_5	LN_5_5	DF_7_8	DF_6_7	LN_2_4	DF_2_7	HN_3_2	HN_4_7	DF_4_5	DF_1_4	DF_5_5	LN_5_7	DF_3_2	DF_5_8	DF_3_1	HN_2_4	DF_2_8	DF_4_3	DF_3_4	DF_6_3	DF_7_6	DF_4_6	DF_6_2	HN_3_6	HN_1_8	DF_2_4	HN_6_3	DF_6_5	LN_5_1	HN_4_1	DF_6_1	LN_1_3	LN_5_4	DF_7_7	DF_5_4	DF_3_8	DF_1_7	HN_1_1	LN_6_4	DF_5_7	DF_7_2	LN_2_3	DF_6_4	DF_1_3	HN_5_6	DF_4_1	HN_4_8	DF_2_3	DF_3_7	DF_6_8	DF_4_7	LN_5_8	HN_5_8	HN_5_4	DF_1_8	LN_1_1	HN_5_7	DF_1_2	LN_3_3	HN_3_8	DF_5_3	HN_6_2	DF_2_6	DF_3_5	HN_6_6	HN_6_5	DF_1_6	HN_6_1	HN_5_1	LN_3_5	DF_2_2	DF_3_3	HN_1_6	HN_4_3	HN_6_7	LN_6_1	LN_4_1	HN_4_2	HN_2_1	LN_3_2	LN_5_2
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroidaceae bacterium MS4	OTU_83059	2	0	0	0	0	0	2	0	4	3	1	0	0	0	0	0	0	0	1	0	9	0	0	2	10	0	1	0	0	16	0	34	0	0	0	0	0	7	1	0	9	0	0	12	0	0	19	0	2	0	0	0	2	9	3	2	1	8	0	11	0	5	2	0	3	0	2	13	0	0	7	0	13	0	9	2	0	30	15	0	0	7	0	0	4	4	0	5	11	0	0	0	0	0	9	2	2	0	2	0	4	0	1	0	0	0	0	0	2	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides nordii	OTU_408	0	2	0	1	0	0	1	0	12	1	0	1	0	0	2	0	0	0	0	0	7	0	98	0	3	12	0	0	0	1	0	2	9	0	0	0	0	12	3	5	0	6	4	11	0	13	2	2	0	0	2	0	1	3	0	3	23	2	0	4	0	3	0	0	5	6	1	6	0	0	2	5	3	0	1	0	0	0	3	0	0	1	5	0	1	0	1	0	2	0	1	0	0	0	0	1	1	3	0	0	1	0	1	0	11	0	7	0	0	54	23	0	2	3	0	1	0	6	0	22	0	0	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides nordii CL02T12C05	OTU_82271	7	0	0	0	1	1	16	0	0	1	0	3	0	0	24	9	0	6	0	6	0	0	0	1	0	0	0	0	0	18	0	1	0	0	2	0	0	0	0	0	3	0	0	6	17	0	0	0	24	0	1	2	0	0	21	11	0	0	7	0	23	10	0	0	7	6	0	30	0	1	0	0	7	0	0	13	0	0	16	0	8	1	0	0	43	16	1	16	19	4	0	0	14	1	21	0	0	1	0	0	0	1	0	4	2	0	0	0	3	0	0	0	0	0	9	14	0	0	0	0	0	8	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides oleiciplenus YIT 12058	OTU_95	12	1380	1	3964	0	1	821	1	2	6	0	17	16	11	47	0	1	3	0	47	2	18	7	90	4	0	5	1255	1	2	0	2	1	1	1	8	238	0	80	7	36	1	0	807	0	0	0	13	1618	0	1	5	44	0	112	215	0	3	2	13	10	2	6	1	1407	3	2	1051	0	2	9	2	2056	3	516	1007	0	1	50	4	0	7	15	0	40	259	1	120	442	15	1	9	132	0	212	1	0	2	12	0	17	4	1	35	2	4	92	0	0	2	1	2	3	11	28	245	4	0	3123	5	95	780	4358	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus CL03T12C18	OTU_50	291	1	695	0	0	89	340	0	0	180	11	0	10	15	1340	0	0	113	9	0	118	12	0	19	2	0	0	1	0	364	9	10	4	13	293	0	92	0	0	19	130	0	67	537	894	0	1	62	562	1	154	200	0	0	745	975	0	0	235	0	1280	613	11	19	273	386	1	1556	2	42	1	14	359	0	0	461	0	7	183	0	213	0	24	0	1276	178	0	1131	569	0	6	0	589	73	370	4	0	0	0	0	3	0	0	626	1	0	56	117	36	0	0	0	49	5	683	971	0	0	0	3	0	71	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. PFB2-14	OTU_102	450	216	203	213	471	608	956	1430	2847	691	261	307	120	455	474	586	180	125	249	412	570	458	119	1015	879	94	138	196	60	532	1	227	127	203	629	168	64	1500	198	831	558	346	62	587	529	33	700	144	797	426	273	532	320	1062	850	1433	696	601	611	1007	1020	750	279	301	1621	325	943	1696	238	190	1508	83	744	1947	531	1572	351	220	479	93	213	863	126	5	781	162	910	1427	1117	354	208	228	688	89	752	1151	179	267	237	910	44	349	962	297	318	157	249	159	321	123	152	129	198	312	577	624	583	28	226	107	206	124	61	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. PFB2-24	OTU_106332	275	115	20	189	117	1270	392	70	90	911	202	637	221	373	373	192	510	34	433	272	405	157	45	280	361	115	51	77	51	208	1	80	43	128	378	35	113	7	159	216	194	22	45	161	196	7	513	112	172	108	43	314	98	294	173	364	29	86	41	249	545	147	68	153	279	335	178	327	152	68	204	34	177	418	289	388	310	242	235	111	90	1261	109	3	170	55	261	324	266	69	77	228	254	26	63	286	275	70	58	1102	16	58	1277	100	163	214	147	6	70	30	23	104	231	427	144	205	69	7	112	44	444	42	28	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. PH5-1	OTU_51363	51	103	51	144	38	49	92	1686	54	356	1128	16	42	851	662	183	5	49	885	151	212	1929	183	207	603	157	27	154	15	196	0	8	19	115	1062	3	65	14	84	353	375	131	30	913	42	22	6	234	308	22	11	4743	7	1329	362	387	5	442	32	904	52	54	53	38	1405	437	1264	407	390	15	3147	8	242	179	48	268	55	3	588	268	7	948	43	21	36	460	459	852	1055	79	11	3	66	3	168	2004	7	14	31	260	83	49	339	119	12	667	103	15	15	154	130	332	104	103	265	184	618	9	78	199	362	343	48	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. PH5-19	OTU_38343	446	2835	136	2467	308	1520	5628	2127	483	999	2619	1220	668	1914	241	19831	1643	156	428	3924	1764	433	4552	570	1091	1549	1538	2709	83	624	5	415	925	1257	611	17024	93	2717	1038	909	747	4712	259	247	704	1747	550	464	426	189	171	530	8882	2251	1170	1447	1896	729	176	1481	2990	437	276	157	2284	177	1655	1914	1558	3277	2469	2362	603	441	449	2135	3610	394	512	164	676	841	266	260	541	393	205	976	1037	9746	130	6828	7221	242	248	1014	584	17263	16084	260	238	13373	575	190	1159	142	1156	66	72	3194	3267	233	506	591	894	2479	821	277	664	3375	512	81	116	1	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Blattella germanica (German cockroach)	OTU_45	340	130	295	68	73	3	926	5	123	186	129	270	20	54	189	1522	6	62	108	1687	731	105	45	184	353	28	17	68	77	833	1	2251	162	72	287	4	33	234	47	330	439	6	38	642	2837	29	205	142	365	4	246	88	272	467	1452	734	62	691	54	840	70	796	272	706	500	206	370	1300	116	32	512	48	805	172	401	824	38	633	420	111	968	2396	50	1	379	878	18	721	536	313	24	65	1547	623	316	157	60	71	6	251	23	130	157	164	2467	312	43	210	328	48	60	147	100	224	34	1116	400	49	44	77	233	61	7	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;iron-reducing bacterium enrichment culture clone HN56	OTU_743	21	0	0	0	0	0	0	0	34	0	0	0	0	3	0	0	0	0	3	0	29	16	0	1	1	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	11	0	0	3	0	0	0	0	33	0	0	138	0	1	5	58	0	1	84	1	0	0	0	0	1	0	0	3	0	0	0	0	18	0	0	2	2	0	0	0	0	275	0	0	70	13	0	36	14	0	0	0	1	0	93	1	0	0	0	28	0	0	0	0	0	0	0	0	0	0	1	6	0	0	3	5	0	0	0	0	0	36	0	0	0	0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured bacterium	OTU_84819	841	1232	384	1720	618	5968	2149	1164	555	1408	892	794	375	723	4554	1092	160	491	544	2262	1813	883	558	1109	724	357	201	1647	41	2502	10	1090	975	357	986	150	217	493	1134	699	713	628	160	2246	1576	1315	471	1181	1045	270	237	1412	366	755	1270	2163	211	419	271	858	2978	801	461	727	1342	3492	884	1934	667	258	863	310	930	1558	1966	1777	465	449	2783	198	849	2067	282	10	734	866	555	1303	1208	351	320	367	1710	298	645	865	238	278	173	1235	343	240	1675	1102	1323	268	801	138	465	784	741	280	460	873	1954	2107	708	332	697	863	1245	278	283	0	0	0
